-100050368662178194	0	493371_1_1	1
-100050368662178194	0	493371_4_1	0
-1001019983657252276	0	45050_1_1	1
-1001019983657252276	0	45050_3_1	0
-1003149029482944297	0	528292_2_1	1
-1003149029482944297	0	528292_3_1	1
-1044864835402371896	0	566178_1_1	1
-1050095616052219225	0	21997_1_1	1
-1050095616052219225	0	21997_2_1	0
-1050095616052219225	0	21997_3_1	0
-1053879494330138697	0	28095_1_1_1	1
-1053879494330138697	0	28095_2_1	0
-1061771901766382930	0	22094_1_1	1
-1069060288781198500	0	7763_1_1	1
-1069060288781198500	0	7763_2_1	0
-1069060288781198500	0	7763_3_1	0
-1075686301270139000	0	543426_1_1	1
-1075686301270139000	0	543426_2_1	0
-1079724303409291767	0	515832_1_1	1
-1082515269308681876	0	478720_1_1	1
-1082515269308681876	0	478720_2_1	1
-1082515269308681876	0	478720_3_1	0
-1085928132280576267	0	533618_1_1	1
-1086760990206957292	0	100371_1_1	1
-1086760990206957292	0	100371_2_1	0
-1088686024065560458	0	553806_1_1	1
-1091474228905467648	0	14053_1_1	1
-1102865977926901392	0	489778_1_1	0
-1102865977926901392	0	489778_2_2	1
-1102865977926901392	0	489778_3_1	0
-1106042881675059958	0	586132_1_1	1
-1106042881675059958	0	586132_2_1	0
-1106042881675059958	0	586132_4_1	0
-1108020796724821634	0	485521_1_1	0
-1108020796724821634	0	485521_2_1	1
-1108020796724821634	0	485521_3_1	0
-111814708313062011	0	5942_1_1	1
-111814708313062011	0	5942_2_1	0
-111814708313062011	0	5942_3_1	0
-1123800109149986582	0	200987_1_1	1
-1123800109149986582	0	200987_2_1	0
-1123800109149986582	0	200987_3_1	0
-1124547722859169820	0	69232_2_1	1
-1124547722859169820	0	69232_3_1	0
-1131433021368281513	0	21097_1_1	1
-1131433021368281513	0	21097_2_1	1
-1131433021368281513	0	21097_3_1	0
-1132968329681217939	0	71124_1_1	1
-1132968329681217939	0	71124_3_1	0
-1142461554475441558	0	486754_2_1	1
-1151559714336328368	0	124048_1_1	1
-1152375403504902618	0	528226_1_1	1
-1162853422539439286	0	665082_1_1	1
-1162853422539439286	0	665082_2_1	0
-1162853422539439286	0	665082_3_1	0
-1163702251272577900	0	17336_1_1	1
-1170205453206639583	0	18432_1_1	1
-1170205453206639583	0	18432_3_1	1
-1170205453206639583	0	18432_4_1	1
-1170826026334978874	0	532986_1_1	1
-1170826026334978874	0	532986_2_1	0
-1175422012505123235	0	591884_1_1	1
-1175422012505123235	0	591884_2_1	0
-1185129645816876391	0	41681_2_1	1
-1186524550269118002	0	287857_4_1	1
-118735199733365902	0	665082_1_1	1
-118735199733365902	0	665082_2_1	0
-118735199733365902	0	665082_3_1	0
-1205795640268070890	0	661840_3_1	1
-1207890558236750308	0	660007_1_1_1	0
-1207890558236750308	0	660007_1_1_2	0
-1207890558236750308	0	660007_2_1	1
-1207890558236750308	0	660007_3_1	0
-1208668804527730613	0	490348_2_1	1
-1208668804527730613	0	490348_4_1	0
-120946192803906358	0	70874_2_1	1
-1213981811535141502	0	18380_1_1	1
-1213981811535141502	0	18380_2_1	0
-1213981811535141502	0	18380_3_1	0
-1217712158413261548	0	36457_1_1	1
-1217712158413261548	0	36457_2_1	0
-1223000364896051059	0	61267_1_1	1
-1227906200288629297	0	7763_1_1	1
-1227906200288629297	0	7763_2_1	0
-1227906200288629297	0	7763_3_1	0
-1231461419627626378	0	28803_1_1_1	1
-1231461419627626378	0	28803_2_1	0
-1231461419627626378	0	28803_2_2	0
-1232917425946941048	0	126028_1_1	0
-1232917425946941048	0	126028_2_1	1
-1232917425946941048	0	126028_5_1	0
-1233282215650866711	0	529022_1_1	1
-1240394855599081346	0	199856_1_1_1	1
-1240406453036458108	0	11670_1_1	0
-1240406453036458108	0	11670_2_1	0
-1240406453036458108	0	11670_3_1	1
-1241398017168335596	0	132145_1_1	1
-1248628669353764265	0	196106_1_1	1
-1248628669353764265	0	196106_2_1	0
-1248628669353764265	0	196106_3_1	0
-1249466002898918741	0	62787_1_1	1
-125025028095025822	0	44593_1_1	1
-125025028095025822	0	44593_3_1	0
-125025028095025822	0	44593_4_1	0
-1259255228108588003	0	498329_1_1	1
-1259255228108588003	0	498329_2_1	1
-1259255228108588003	0	498329_3_1	0
-1259611742885295314	0	16044_1_1	0
-1259611742885295314	0	16044_2_1	1
-1259611742885295314	0	16044_3_1	0
-127030027618701265	0	28465_1_1	1
-127030027618701265	0	28465_2_1	0
-1271983947182911489	0	541803_1_1	1
-1271983947182911489	0	541803_2_1	0
-1271983947182911489	0	541803_3_1	0
-1274134576647383747	0	479450_2_1	1
-1274134576647383747	0	479450_3_1	0
