-100050368662178194	Әйелдер футболы қашан олимпиадалық спорт түріне айналды?
-1001019983657252276	Джулиан күнтізбесі бойынша жылына қанша күн?
-1003149029482944297	Хоббит туралы қанша фильм болады?
-1044864835402371896	Ұятсыз фильмінде Карлды ойнайтын актер кім?
-1050095616052219225	Анд тау жотасының ұзындығы неше шақырымды құрайды?
-1053879494330138697	Біз сыртқы сезімдерден хабардар болған кезде сезінетін сана түрі?
-1061771901766382930	Өсімдіктегі гүлдердің ең маңызды рөлі қандай?
-1069060288781198500	Эйфель мұнарасы әлемдегі ең биік ғимарат қанша уақыт болды?
-1075686301270139000	Алғашқы Ғаламдағы қара энергияның рөлі қандай болды?
-1079724303409291767	Аштық ойындары қашан болуы керек?
-1082515269308681876	Алғашқы Toyota land cruiser қашан шығарылды?
-1085928132280576267	Грек мифологиясындағы жер асты әлемінің құдайы кім?
-1086760990206957292	Массаның сақталу заңын кім ойлап тапты?
-1088686024065560458	Snow patrol тобы қайдан пайда болды?
-1091474228905467648	Крит әлем картасында қайда орналасқан?
-1102865977926901392	Эверест шыңына кім жетті?
-1106042881675059958	Жаңа iphone x қашан шықты?
-1108020796724821634	АҚШ туындағы жұлдыздар нені білдіреді?
-111814708313062011	Қаланың негізгі бөлігі қандай?
-1123800109149986582	Ps vita slim қашан шықты?
-1124547722859169820	Классикалық кезеңді бастаған тарихи оқиға?
-1131433021368281513	Футболдан алғашқы әлем чемпионаты қашан ұйымдастырылды?
-1132968329681217939	Корти органы қайда орналасқан?
-1142461554475441558	Хаффингтон пост газеті қандай?
-1151559714336328368	Аризонадағы алып кактустар қалай аталады?
-1152375403504902618	Дели сұлтандығының іргетасы қашан қаланды?
-1162853422539439286	Тиффанидегі ай өзенінде таңғы ас әнін кім айтады?
-1163702251272577900	Колизейдің орталығында не бар?
-1170205453206639583	P. S. хатта қайда орналастырылған?
-1170826026334978874	Біздің жұлдыздардағы ақау фильмі қашан шықты?
-1175422012505123235	1962 жылғы Әлем кубогының финалы қайда өтті?
-1185129645816876391	Метрополитен өнер мұражайы қашан салынды?
-1186524550269118002	Версаль бейбітшілік келісіміне қай жерде қол қойылды?
-118735199733365902	Тиффанидегі таңғы ас фильмінде' ай өзені ' әнін кім шырқады?
-1205795640268070890	Цереброспинальды сұйықтық (ликер) қай жерде өндіріледі?
-1207890558236750308	Испания империясы қанша жерді иеленді?
-1208668804527730613	Сабыр сақтаңыз және жалғастырыңыздеген дәйексөзді кім жасады?
-120946192803906358	Орталық жүйке жүйесі ми қабығының мембраналарымен қоршалған?
-1213981811535141502	Келесі 2018 Олимпиада ойындары қайда өтеді?
